T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss]
1175, -726, 32, 734, -1540, 2660, 560, 177, -181, -445
1275, -726, 32, 735, -1610, 2660, 560, 171, -171, -441
1375, -726, 33, 734, -1540, 2660, 560, 177, -171, -451
1475, -727, 34, 734, -1610, 2590, 560, 180, -172, -453
1575, -725, 31, 736, -1610, 2590, 490, 187, -183, -445
1675, -727, 32, 735, -1540, 2660, 560, 181, -184, -453
1775, -726, 32, 735, -1540, 2660, 560, 181, -178, -442
1875, -727, 33, 735, -1540, 2660, 560, 175, -181, -454
1975, -726, 32, 736, -1540, 2660, 560, 183, -175, -442
2075, -727, 33, 735, -1540, 2660, 560, 186, -177, -450
2175, -725, 32, 737, -1540, 2590, 560, 186, -175, -450
2275, -727, 33, 735, -1540, 2660, 560, 183, -172, -451
2375, -726, 33, 736, -1540, 2660, 560, 183, -178, -447
2475, -726, 33, 736, -1610, 2590, 560, 184, -178, -444
2575, -726, 32, 736, -1540, 2660, 560, 175, -177, -445
2675, -726, 34, 735, -1540, 2660, 560, 177, -177, -454
2775, -726, 32, 736, -1540, 2660, 560, 181, -178, -441
2875, -726, 32, 736, -1540, 2660, 630, 172, -180, -448
2975, -727, 34, 735, -1540, 2660, 630, 180, -174, -456
3075, -726, 33, 736, -1540, 2660, 560, 180, -184, -447
3175, -725, 33, 736, -1540, 2660, 560, 186, -177, -456
3275, -727, 34, 735, -1470, 2730, 630, 183, -178, -448
3375, -726, 33, 736, -1610, 2590, 560, 175, -177, -445
3475, -726, 33, 736, -1540, 2660, 560, 180, -178, -448
3575, -727, 34, 735, -1540, 2660, 560, 183, -178, -450
3675, -726, 32, 736, -1540, 2590, 560, 183, -174, -441
3775, -727, 33, 736, -1540, 2660, 560, 186, -172, -454
3875, -727, 34, 735, -1540, 2660, 560, 184, -175, -448
3975, -726, 33, 736, -1610, 2590, 630, 184, -181, -445
4075, -726, 33, 736, -1540, 2660, 560, 181, -184, -453
4175, -727, 34, 735, -1470, 2660, 560, 177, -171, -442
4275, -726, 33, 736, -1540, 2660, 630, 181, -177, -447
4375, -726, 33, 736, -1610, 2590, 560, 177, -180, -451
4475, -725, 31, 737, -1610, 2660, 560, 183, -174, -451
4575, -727, 33, 735, -1540, 2730, 630, 183, -180, -448
4675, -726, 33, 736, -1540, 2590, 560, 183, -171, -451
4775, -726, 33, 736, -1540, 2660, 560, 187, -175, -451
4875, -727, 33, 735, -1470, 2660, 560, 174, -183, -442
4975, -727, 34, 735, -1540, 2660, 560, 178, -177, -450
5075, -726, 33, 736, -1540, 2660, 560, 181, -174, -441
5175, -727, 33, 736, -1540, 2660, 630, 178, -172, -453
5275, -727, 33, 735, -1610, 2660, 560, 189, -172, -453
5375, -726, 32, 736, -1610, 2590, 560, 178, -171, -460
5475, -725, 43, 742, -2170, 2450, 1050, 184, -178, -447
5575, -721, 17, 736, -20160, -2520, 13230, 183, -187, -444
5675, -719, 27, 743, -1400, 2800, 700, 183, -175, -447
5775, -720, 27, 743, -1400, 2730, 560, 174, -171, -448
5875, -720, 26, 743, -1540, 2660, 490, 180, -171, -441
5975, -720, 27, 743, -1400, 2660, 560, 178, -165, -453
6075, -722, 31, 739, -1400, 2590, 420, 180, -171, -450
6175, -717, 23, 746, -1890, 2380, 490, 181, -166, -453
6275, -717, 23, 745, -1540, 2660, 630, 178, -180, -448
6375, -721, 28, 742, -1400, 2730, 630, 187, -172, -442
6475, -719, 27, 743, -1540, 2660, 560, 181, -172, -442
6575, -718, 25, 744, -1470, 2660, 630, 181, -171, -439
6675, -720, 27, 743, -1470, 2730, 630, 181, -172, -445
6775, -724, 16, 737, -1400, 2660, 490, 202, -190, -445
6875, -770, 99, 767, 150430, 91630, -162960, 220, -223, -457
6975, -791, -19, 654, -32830, 140, 45640, 198, -186, -429
7075, -796, 44, 672, -168210, -26600, 158200, 189, -160, -400
7175, -770, -71, 654, -113680, -19180, 68320, 192, -165, -405
7275, -763, -11, 698, 11760, 5530, -7000, 189, -163, -403
